Name,Rating,Review,Description,Price_Range,Category,Location
홈보이서울,4.3,(53),오랜 친구처럼 편안한 아메리칸 차이니즈 레스토랑,점심 저녁 동일가 1 - 3만원,중식,서촌
섭생정식 창동본점,4.6,(169),수준 높은 서비스와 신선한 해산물을 제공하는 맛집,점심 저녁 동일가 1 - 4만원,"해물,생선요리",창동
더식당 명동점,4.1,(16),고소 버터랍스타구이와 매콤한 직화쭈꾸미,점심 저녁 동일가 1 - 4만원,퓨전음식,명동
스시도쿠 카미동,4.6,(205),고급 일식 덮밥요리와 고급스러우과 즐거움이 공존하는 공간* 3인 이상부터 예약 가능합니다.,점심 저녁 동일가 1 - 6만원,일식,왕십리
어쩌다농부 남대문점,4.4,(29),지역에서 난 식재료를 활용하는 팜투테이블 요리를 경험할 수 있는 공간,점심 저녁 동일가 1 - 3만원,퓨전음식,회현
덴푸라 감춘,4.5,(301),자연의 선물을 감싸 안은 프리미엄 덴푸라 파인다이닝,점심 2.8 - 9.8만원 · 저녁 4.8 - 9.8만원,덴푸라오마카세,잠실
위커파크 웨스트,4.3,(116),이국적인 인테리어로 유명한 석촌호수 브런치 맛집,점심 저녁 동일가 1 - 2만원,브런치,석촌
오시 망원점,4.5,(79),분위기 좋은 오코노미야끼 전문 철판요리집,점심 저녁 동일가 1 - 2만원,일식,망원
아소정,4.2,(22),"함흥냉면 서울 5대 맛집, 그리고 남녀노소 호불호 없는 궁중갈비찜 & 갈비탕 전문점",점심 저녁 동일가 1 - 3만원,한식,공덕
카페 페퍼,4.4,(116),송리단길 글루텐프리 디저트 카페,픽업가 4 - 7만원,케이크,송파
네시사분,4.7,(60),분기별 제철 디저트를 선보이는 디저트 카페,점심 저녁 동일가 1 - 2만원,"카페,디저트",연남
무탄 광화문점,4.3,(348),대한민국 NO.1 차이니즈 다이닝,점심 저녁 동일가 2 - 15만원,중식,광화문
희희,4.5,(68),2019년 공덕에서 시작한 캐주얼한 소바집 입니다.직접 만든 쯔유와 신선한 재료들로 맛있고 다양한 소바와 요리들을 제공합니다.,점심 저녁 동일가 1 - 2만원,일식,종로
82올리언즈 강남점,4.5,(155),"미국 남부 감성의 립, 몬테크리스토, 라자냐 맛집 청첩장,데이트,단체모임에 적합한 단체석 확보! 코리아 코카콜라가 사랑하는 브랜드! 그 이유가 궁금하다면?https://www.coca-cola.com/kr/ko/offerings/food/c",점심 저녁 동일가 1 - 4만원,아메리칸음식,강남
샤브인서울 압구정로데오점,4.8,(331),1++ 등급 한우와 신선한 야채로 선보이는 한국식 프리미엄 샤브 다이닝,점심 저녁 동일가 2 - 4만원,샤브샤브,압구정로데오
모르므로,4.8,(87),"음식이 맛있고 분위기 좋은, 아늑하고 차분한 다이닝&칵테일 바'우리는 서로를 모르므로'모르는 사람들과 함께 있는 공간, 모르므로 : MORMRO 양식을 기반으로 선보이는 캐주얼 레스토랑&칵테일 바 로편안한 집을 연상하게 하는 무드와 잔잔한 분위기를 자아냅니다.",점심 영업안함 · 저녁 2 - 3만원,다이닝바,성수
타파스바,4.4,(51),스페인의 맛과 분위기를 그대로 즐길 수 있는 스페인음식 전문점,점심 저녁 동일가 1 - 2만원,스페인음식,이태원
솔솥 연남점,3.9,(148),"스테이크, 도미관자 솥밥이 맛있는 프리미엄 솥밥 맛집",점심 저녁 동일가 1 - 3만원,한식,연남
정숙성,4.8,(153),시간과 정성을 담은 숙성한돈(1+ 특상급) 숯불구이 전문점,점심 저녁 동일가 1 - 2만원,돼지고기구이,서울대입구
로우샹로우,4.4,(4),양구이와 중화요리를 베이스로 하는 새로운 스타일의 중국식 바베큐 레스토랑,점심 저녁 동일가 2 - 4만원,양고기,합정
두끼 떡볶이 NC가든파이브점,4.3,(145),떡볶이부터 볶음밥까지 자유롭게 직접 조리해 즐기는 즉석떡볶이 레스토랑,점심 저녁 동일가 1만원,한식,문정
남원통닭,0.0,0,청량리 전통시장에 있는 통닭 맛집,점심 저녁 동일가 1 - 2만원,"치킨,닭강정",청량리
치즈룸X멜팅샵 코엑스 파르나스몰,4.5,(611),코엑스에서 즐기는 [멜팅샵] & [치즈룸] 콜라보,점심 저녁 동일가 2 - 4만원,이탈리아음식,삼성
양산도 대치점,4.0,(25),나고야식 민물장어덮밥 전문점 65년 전통의 민물장어명가 양산도가 민물장어를 보다 손쉽게 접할실 수 있도록 나고야식 민물장어덮밥(히츠마부시)를 개발하였습니다.,점심 저녁 동일가 1 - 4만원,장어요리,대치
카페 하모니,4.1,(894),쿠로미와 마이멜로디가 환상의 케미를 선보이며 준비한 F&B와 두 친구의 사랑스러움만 가득 담긴 GOODS까지!,점심 저녁 동일가 1 - 3만원,"카페,디저트",망원
스케줄 청담,4.2,"(1,151)",서울 최대 규모의 다이닝 복합 문화공간,점심 저녁 동일가 1 - 8만원,이탈리아음식,청담
육지 (肉地),4.1,(158),이불갈비로 유명한 줄서는식당 맛집,점심 저녁 동일가 1 - 2만원,돼지고기구이,합정
갸우뚱,4.5,(92),줄서서 먹는 홍콩 감성 중식당,점심 저녁 동일가 1 - 4만원,중식,혜화
닌니쿠요코초,3.9,(45),후쿠오카의 오뎅과 도쿄의 데판야키를 퓨전으로 접목시킨 이자카야,점심 저녁 동일가 1 - 3만원,일식,삼각지
츠키라멘,4.8,(8),"일본식 라멘(이에케라멘,마제소바) 전문점",점심 저녁 동일가 1 - 2만원,일식,광화문
그로어스,4.5,(191),햇살 가득 들어오는 한적한 분위기에서 맛있는 음식을 즐길 수 있는 공간,점심 저녁 동일가 1 - 3만원,브런치,연희
돈구멍 마곡본점,5.0,(41),창가뷰가 아름다운 저녁노을 맛집 겉바속촉 문어발 솥뚜껑 삽겹살,점심 저녁 동일가 3 - 4만원,돼지고기구이,마곡
초이다이닝 송파점,4.3,(95),오늘도 GOOD CHOI’S! 초이다이닝 송파점(송리단길)!!,점심 저녁 동일가 1 - 2만원,일식,송파
82올리언즈 을지로점,4.5,(158),"재즈와 육해공의 다양한 교통이 발달되어 있는 미국 남부 최대 항구도시 뉴올리언즈! 프랑스, 스페인, 흑인, 남부식 요리가 혼합된 토속적인 케이준 스타일을 지향합니다!",점심 저녁 동일가 1 - 2만원,아메리칸음식,을지로
리파인 압구정로데오점,4.7,(693),한식베이스 메뉴와 그에 페어링 할 전통주를 선보이는 캐주얼 다이닝바,점심 영업안함 · 저녁 1 - 5만원,전통주,압구정로데오
반포식스 연세세브란스점,4.3,(19),정통 베트남 본연의 맛과 뉴욕 스타일이 어우러진 아시안 음식 전문점,점심 저녁 동일가 1 - 2만원,베트남음식,서울역
묘오또 방배점,4.3,(116),"붓가케우동, 사누끼우동의 진수를 보여주는 우동 맛집",점심 저녁 동일가 1 - 2만원,일식,방배
누데이크 성수,4.0,(22),Museum of Nudake 를 테마로 완성한 누데이크의 두 번째 플래스십 스토어,점심 저녁 동일가 1 - 4만원,"카페,디저트",성수
정돈 강남점,4.8,(24),육즙 가득한 핑크빛 돈카츠를 국내 최초로 선보인 원조 브랜드,점심 저녁 동일가 1 - 3만원,돈가스,강남
토터스,4.4,(13),"직접 로스팅한 다양한 커피, 부드럽고 폭신한 수플레 팬케이크를 판매하는 토터스",점심 저녁 동일가 1 - 2만원,"카페,디저트",해방촌
온더보더 광화문 D타워점,4.3,(143),멕시칸 패밀리 레스토랑,점심 저녁 동일가 1 - 7만원,멕시코음식,광화문
피즈소셜클럽,4.7,(34),드립 커피 전문점 & 아날로그 음악감상실,점심 저녁 동일가 1 - 2만원,"카페,디저트",을지로
르번미 본점,4.0,(124),"토마토 쌀국수의 독특한 맛, 웨이팅이 아깝지 않은 베트남 음식점",점심 저녁 동일가 1 - 2만원,아시아음식,이촌
리애,4.5,(118),서울 외곽의 은둔 고수의 돈까스집,점심 저녁 동일가 1 - 2만원,돈가스,개포
돈까스의 집,4.3,(185),부드럽고 촉촉한 경양식 돈까스 맛집,점심 저녁 동일가 1 - 2만원,한식,잠실
조선팰리스 강남 1914 라운지 & 바,4.5,(222),"시그니처 칵테일과 1914만의 에프터눈 티, 위스키, 샴페인을 탁트인 전망과 층고에서 라이브음악과 즐길 수 있는 우아한 공간",점심 5 - 10만원 · 저녁 가격변동,다이닝바,역삼
치보 강남신사점,4.7,(7),50년 전통의 오사카 1등 오코노미야끼 전문점,점심 저녁 동일가 1 - 3만원,일식,신사
지유켄,4.7,(43),간단하게 식사하기 좋은 일본식 중화요리 전문점,점심 저녁 동일가 1 - 2만원,중식,을지로
양산도 교대점,4.4,(18),나고야식 민물장어덮밥 “히츠마부시” 전문점,점심 저녁 동일가 1 - 4만원,일식,교대
특별한 오복수산 가로수길점,4.7,(131),신선한 해산물을 사용한 일식 다이닝 매장,점심 저녁 동일가 2 - 10만원,일식,신사
레인리포트 브리티시,4.3,(49),런던의 호텔 컨셉의 레인리포트,점심 저녁 동일가 1 - 2만원,"카페,디저트",연남
칸토 (KANTO),0.0,0,무채색 톤 컨셉이 돋보이는 디저트 카페,점심 저녁 동일가 1만원 미만,"카페,디저트",성수
대성식당,4.6,(30),SINCE 1984 2대째 운영하는 낙곱새 전문 40년 전통 노포 맛집,점심 저녁 동일가 1 - 2만원,한식,종로3가
바통 (Bâton meal cafe),4.1,(32),유럽 가정식을 모티브로 건강한 식재료와 빵을 기본으로 한 든든한 한끼 식사를 제공하고 있습니다.,점심 저녁 동일가 1 - 2만원,브런치,용산
정돈 성수점,4.6,(39),서울숲 맛집 정돈 수제 돈카츠 전문점,점심 저녁 동일가 1 - 3만원,돈가스,서울숲
제스트,4.7,(70),"SUSTAINABLE FINE DRINKING  우리를 둘러싼 환경에서 영감을 얻고, 우리가 속한 커뮤니티와 함께 성장하며, 지속가능한 FINE DRINKING 문화를 만들어갑니다.",점심 영업안함 · 저녁 가격변동,"칵테일,위스키",청담
서우 룸다이닝 성수점,4.5,(123),"정성 담긴 건강하고 맛있는 중식, 서울숲 고급 중식당",점심 저녁 동일가 1 - 9만원,중식,서울숲
콴안다오 김포롯데몰점,4.3,(10),현지의 맛을 그대로 느낄 수 있는 홈메이드 베트남가정식 전문점,점심 저녁 동일가 1 - 2만원,아시아음식,방화
빙봉 서울숲,4.2,(38),숲뷰 테라스가 근사한 브런치 카페,점심 저녁 동일가 1 - 3만원,브런치,서울숲
Fleurs sur la route ( 플르서라구뜨 ),4.5,(166),"압구정 속 작은 유럽, 싱그러움 낮과 아름다운 밤 플르서라구뜨에 머무는 모든시간이 소중 해지는 복합문화공간",점심 저녁 동일가 1 - 4만원,브런치,압구정로데오
연남토마 롯데몰 김포공항점,3.8,(68),"줄서서 먹는 퓨전덮밥, 파스타 전문 맛집",점심 저녁 동일가 1 - 2만원,퓨전음식,방화
신가네칼국수,4.1,(130),50년 토박이 칼국숫집,점심 저녁 동일가 1 - 2만원,"국수,냉면",하계
낙원의소바,3.9,(29),일본의 전통적인 맛을 현대식으로 해석한 소바&돈카츠 맛집,점심 저녁 동일가 1 - 2만원,일식,충무로
분지로 사운즈한남점,4.5,(319),타카다 유지 장인의 영혼을 담은 돈카츠 전문점,점심 1 - 3만원 · 저녁 2 - 3만원,돈가스,한남
PPL 식당,4.7,(7),메뉴가 바뀌는 식당,점심 가격변동 · 저녁 가격변동,"백반,가정식",신사
토끼다이닝 성수,4.3,(10),성수와 서울숲에 위치한 요리가 맛있는 맛집 겸 술집 토끼다이닝,점심 저녁 동일가 1 - 2만원,한식,서울숲
지아니스나폴리 역삼 본점,4.5,(70),이태리 베수비오 화산석으로 만든 화덕에 구운 정통 나폴리 피자 전문점,점심 저녁 동일가 1 - 3만원,피자,역삼
문화식당 성수점,4.7,(65),성수동의 숨은 동굴 속 오아시스 같은 공간,점심 저녁 동일가 1 - 5만원,파스타,성수
화씨이육공 사당점,4.5,(134),냄새 없이 구워주는 삼겹살 전문점,점심 저녁 동일가 1 - 3만원,돼지고기구이,사당
센티맷,4.6,(68),"낮에는 호주식 브런치와 커피, 저녁에는 와인과 페어링 가능한 음식들로 와인을 즐길 수 있는 공간",점심 1 - 2만원 · 저녁 1 - 5만원,브런치,도곡
문화식당 신당점,4.7,(30),맛있는 음식과 캐주얼한 분위기의 신당동 깔끔한 양식당,점심 저녁 동일가 1 - 3만원,파스타,신당
스시도쿠 더성수,4.5,(119),한해 23만명이 방문하는 서울에서 가장 사랑받는 스시,점심 1 - 3만원 · 저녁 1 - 7만원,"스시,초밥",서울숲
동백카츠 샤로수길점,5.0,(3),샤로수길 초입에 위치해 있는 경양식 맛집,점심 저녁 동일가 1 - 3만원,일식,샤로수길
또보겠지떡볶이집 성수말랑쉼표점,4.6,(73),깻잎 즉석떡볶이와 버터갈릭 감자튀김의 원조 또보겠지 떡볶이집,점심 저녁 동일가 1 - 2만원,한식,성수
요시 성수,4.0,(99),매일 아침 신선한 소고기만으로 작업하여 주문과 동시에 숯불로 굽는 함바그,점심 저녁 동일가 1 - 4만원,일식,서울숲
초이다이닝 혜화대학로점,4.4,(48),후토마끼가 시그니처인 퓨전일식 다이닝,점심 저녁 동일가 1 - 2만원,일식,혜화
도마 중림동점,4.5,(89),프리미엄 소고기 맛집,점심 1 - 2만원 · 저녁 2 - 4만원,소고기구이,충정로
연남한양집,4.9,(132),장사 그만하겠습니다.여러분을 만족시키지 못한다면요.'음식이상의 특별한 경험을 제공합니다‘- 네이버 알림받기 막국수 쿠폰- 3초를 맞추시면 “전액 무료”- 포토리뷰작성시 10만원 뽑기권 제공- 기본안주 “국물떡볶이”제공*혜택이 더 많은데 적을칸이 부족하네요,점심 저녁 동일가 1 - 2만원,요리주점,연남
아이엠베이글 공덕점,4.5,(47),서울 3대 베이글이라는 베이글 맛집,점심 저녁 동일가 1 - 2만원,"카페,디저트",공덕
더 시옷,4.3,(55),소갈비 화로 스테이크와 파스타가 유명한 컨템포러리 맛집,점심 저녁 동일가 2 - 7만원,이탈리아음식,을지로
노릇,4.8,(9),최고급 한돈 냉삼 생삽겹 맛집,점심 저녁 동일가 1 - 3만원,"육류,고기요리",군자
벙구갈비 응암점,4.7,(127),갈비 1인분에 냉면 한 그릇이 서비스인 갈비 찐맛집,점심 저녁 동일가 1 - 2만원,돼지고기구이,은평
삼육가 본점,4.7,(52),삼겹살과 된장찌개가 맛있는 신논현 맛집,점심 저녁 동일가 1 - 4만원,"육류,고기요리",논현
라무라 성수점,4.8,(107),닭 베이스 육수의 둥지라멘을 선보이는 라멘 맛집,점심 저녁 동일가 1 - 2만원,일식,성수
카페 기차가 있는 풍경,4.5,(95),화랑대 철도공원에 위치한 기차가 배달해 주는 이색 카페입니다. 2층에서는 스페셜티 드립바가 준비되어있습니다.,점심 저녁 동일가 1만원 미만,"카페,디저트",공릉
삼삼뼈국,4.6,(120),100% 한우 사골을 사용한 미나리 감자탕 맛집,점심 저녁 동일가 1 - 2만원,한식,회기
853,4.6,(48),트렌디한 한옥에서 즐길 수 있는 육즙 가득한 프리미엄 한돈,점심 저녁 동일가 1 - 2만원,돼지고기구이,인사동
옐로우보울(Yellow Bowl),4.4,(22),블루리본 서베이에 7년 연속 서울에서 꼭 가봐야할 할 맛집으로 선정된 이탈리안 캐주얼 레스토랑,점심 2 - 3만원 · 저녁 2 - 7만원,이탈리아음식,충정로
또보겠지떡볶이집 깐따삐아점,4.7,(47),깻잎 즉석떡볶이와 버터갈릭 감자튀김의 원조 또보겠지 떡볶이집,점심 저녁 동일가 1만원 미만,한식,홍대
투또톤토,5.0,(2),건대 에스프레소바 자유롭고 입체적인 공간,점심 저녁 동일가 1만원 미만,"카페,디저트",건대
멜로즈,4.9,(91),"담백, 달콤한 브런치부터 신선한 샐러드, 든든한 핫디쉬까지",점심 저녁 동일가 1 - 3만원,브런치,공덕
리정원 성신여대점,5.0,(1),10년차 사장님의 노하우가 담긴 꽃삼겹살 전문 고깃집,점심 저녁 동일가 1 - 3만원,"육류,고기요리",성신여대
서양라멘,4.3,(42),일본라멘을 서양식으로 재해석한 퓨전라멘 전문점,점심 저녁 동일가 1 - 2만원,퓨전음식,서울역
원할머니 보쌈족발 본점(Since 1975),4.3,(40),"1975년 부터 세대를 이어가는 정성의 맛, 원할머니 보쌈족발 본점입니다",점심 저녁 동일가 1 - 6만원,"보쌈,족발",신당
베르데 문래,4.6,(119),"맛있는 브런치와 푸짐한 플래터, 칵테일 및 와인, 신선한 수제맥주까지 다양하게 즐길 수 있는 펍 레스토랑",점심 저녁 동일가 1 - 5만원,브런치,문래
그릴도하,4.6,(210),"숯불양갈비, 후무스, 화덕 피타브레드를 함께 즐기는 색다른 한남동 맛집",점심 저녁 동일가 2 - 4만원,아시아음식,한남
아쿠아 디 파르마 옐로우 카페,4.4,(11),세계적인 디자이너 도로테 메일리슈종이 멤피스 무브먼트의 강렬한 색채와 거대한 토템에서 영감을 받아 아쿠아 디 파르마를 재해석한 Yellow Cafe(옐로우 카페),점심 저녁 동일가 1만원 미만,"카페,디저트",잠실
정돈 대학로점,4.9,(10),혜화역 대학로 맛집 수요미식회 나온 정돈 돈까스,점심 저녁 동일가 1 - 3만원,돈가스,혜화
어거스트힐,4.5,(217),분위기 좋고 스테이크가 맛있는 강남역 소개팅 명소,점심 저녁 동일가 1 - 7만원,이탈리아음식,강남
대세 박목살,4.5,(62),"부드러운 목살과 생껍데기, 곤드레밥을 합리적인 가격에 맛볼 수 있는 곳",점심 영업안함 · 저녁 2 - 3만원,돼지고기구이,영등포
문백숯불장인 잠실방이점,4.9,(158),흑돼지의 짙고 검은 육향 숯불구이 전문점,점심 저녁 동일가 2 - 6만원,돼지고기구이,잠실
성수명당,4.3,(30),점심 먹으러 가는 술집 Since 2018,점심 저녁 동일가 1 - 2만원,일식,성수
비볼리 합정,4.9,(127),"Vivo (살다) + li (그곳) = 그곳에 살았다.피렌체로 10년 동안 요리유학을 다녀온 모자가 운영하는이탈리안 레스토랑입니다.10년 동안 모자가 머물렀던 그때 그곳, 이탈리아의 향기를 간접적으로 여기 비볼리에서 느껴보시는 건 어떨까요? 기다리고 있겠습니다.",점심 저녁 동일가 1 - 3만원,이탈리아음식,합정
티엔미미 홍대점,4.4,(10),잊을 수 없는 첫 만남의 기억처럼 계속 생각나는 딤섬 전문 중식당인연은 다시 만나듯 모든 재료가 인연이 되어 고급스럽고 다채로운 맛을 선사하는 광동식  중국요리,점심 저녁 동일가 1 - 10만원,중식,홍대
마루심 서초,4.1,(44),일본 나고야식 장어덮밥 히츠마부시 전문점,점심 저녁 동일가 2 - 6만원,일식,반포
옹기종기감자옹심이,4.8,(155),서울 감자옹심이 찐 맛집,점심 저녁 동일가 1만원 미만,한식,구로
진지아,4.5,(75),"마라의 황제, 중식의 달인 최형진 셰프의 트렌디한 중화요리 전문점",점심 저녁 동일가 1 - 5만원,중식,송파
더멜란지,4.3,(118),"창덕궁, 종로3가, 광화문 맛집으로 소문난 더멜란지. 최고의 서비스와 분위기로 데이트 명소, 핫플로 소문난 맛집.",점심 저녁 동일가 1 - 4만원,이탈리아음식,익선
범가,4.4,(36),줄 서서 먹는 마늘탕수육 맛집,점심 저녁 동일가 1 - 3만원,중식,광장동
청기와타운 종로점,4.7,(147),미국 LA 한인타운의 힙하고 캐주얼한 감성을 담은 인테리어로 눈길을 사로잡는 곳입니다.,점심 저녁 동일가 2 - 3만원,"육류,고기요리",종각
해피치즈스마일 연남점,4.2,(59),키치한 디자인과 인테리어의 떡볶이 맛집 분식 레스토랑,점심 저녁 동일가 1 - 2만원,한식,연남
노아이디어피자,4.9,(34),쫀득한 도우가 매력있는 sns핫플 피자집,점심 저녁 동일가 1 - 2만원,피자,사당
통의동 국빈관,4.4,(324),서촌의 분위기 좋은 한옥 소고기 맛집,점심 저녁 동일가 1 - 6만원,소고기구이,서촌
큔,4.7,(24),발효를 활용한 음식과 음료를 만들고 발효식료품을 판매하는 그로서리&카페. 재료는 모두 식물성(vegan) 입니다.,점심 1 - 2만원 · 저녁 영업안함,베지테리안/비건,서촌
스미카츠,4.1,(6),"습식, 염지 숙성한 냉장 꽃목살을 숯불 훈연한 카츠,카츠동 전문점",점심 저녁 동일가 1 - 2만원,돈가스,압구정로데오
수락이오냉면,4.3,(14),20년 전통의 비법을 담은 채소 육수로 만든 시원한 평양냉면 맛집,점심 저녁 동일가 1 - 2만원,"국수,냉면",상계
쿠히치 연남점,4.5,(38),"점심은 일식당, 저녁에는 이자카야",점심 저녁 동일가 1 - 3만원,일식,연남
하타네 연남점,4.2,(7),일본 현지 스낵바의 감성을 현대식으로 재해석한 안주 맛집,점심 영업안함 · 저녁 1 - 3만원,이자카야,연남
오롯,4.4,(93),셰프들의 창의적인 요리와 숲길 뷰가 돋보이는 다이닝 이자카야,점심 저녁 동일가 1 - 4만원,이자카야,공덕
나래함박,4.6,(42),대학로에서 유일하게 양고기함박을 맛볼 수 있는 숯불함박 전문점,점심 저녁 동일가 1 - 2만원,"육류,고기요리",혜화
짝귀,4.0,(12),한우 1++ 짝갈비를 100g에 1만원대로 즐길 수 있는 가성비 최고의 맛집,점심 저녁 동일가 1 - 3만원,소고기구이,마곡
또보겠지떡볶이집 해피토스점,4.8,(28),깻잎 즉석떡볶이와 버터갈릭 감자튀김의 원조 또보겠지 떡볶이집,점심 저녁 동일가 1 - 2만원,한식,합정
소랑호젠,4.6,(376),"제주의 감성이 담긴 파스타, 스테이크 맛집",점심 저녁 동일가 1 - 4만원,파스타,서울숲
어텐디 한남,0.0,0,다양한 케이크와 티 베리에이션으로 즐기는 유럽 감성 디저트 카페,점심 저녁 동일가 1 - 2만원,"카페,디저트",한남
디어다온,0.0,0,친환경 제품과 대체당을 사용하여 건강과 맛 그리고 환경까지 생각한 푸딩 / 빙수 / 커피를 전문으로 하는 귀여운 연남동 카페,점심 저녁 동일가 1만원 미만,"카페,디저트",연남
사치쌀국수,5.0,(2),닭다리가 통째로 올라간 뜨끈한 태국식 쌀국수,점심 저녁 동일가 1 - 2만원,태국음식,합정
영등포꽃삼,4.2,(2),"최고의 고기, 최고의 맛을 느끼실 수 있는 맛집",점심 저녁 동일가 1 - 3만원,돼지고기구이,영등포
대낚식당 성수,4.2,(89),곱도리탕&대창덮밥 콜라보의 원조 맛집,점심 저녁 동일가 1 - 3만원,한식,성수
남산동,4.2,(176),"신선한 손두부, 가마솥에서 끓여낸 김치찌개, 한우로 만든 남산온반(맑은곰탕)까지 건강한 한상을 차려놓은 공간",점심 저녁 동일가 1 - 3만원,한식,을지로
땡스오트 연남,4.8,(4),모두의 건강을 꿈꾸는 그릭요거트 맛집,점심 저녁 동일가 1 - 2만원,"카페,디저트",연남
크리스탈제이드 상하이 팰리스 광화문점,4.2,(367),"화사한 정원 뷰에서 맛보는 딤섬, 그리고 다양한 요리",점심 저녁 동일가 1 - 8만원,중식,광화문
오복수산대구 여의도점,4.5,(46),신선한 해산물을 사용한 한식 다이닝 매장,점심 저녁 동일가 2 - 5만원,"해물,생선요리",여의도
실루엣커피,4.8,(3),라일락 나무로 유명한 상수 카페,점심 저녁 동일가 1만원 미만,"카페,디저트",상수
본화로,4.5,(17),암퇘지 1+ 한돈 전문점 참숯백탄 직화구이,점심 저녁 동일가 1 - 4만원,돼지고기구이,신림
임금돼지 잠실,4.9,(32),<솔잎훈연> 하이앤드 특수품종 YBD금돼지 전문점,점심 저녁 동일가 1 - 3만원,돼지고기구이,석촌
원조마늘곱창,4.3,(12),15년 곱창 전문가가 만든 곱창 브랜드,점심 영업안함 · 저녁 1 - 3만원,"곱창,막창",문래
육막집,5.0,(1),우주최강 육회막국수 & 갓성비 프리미엄 한우등심구이 전문점,점심 저녁 동일가 1 - 4만원,소고기구이,문정
투파인드피터 서울성수점,4.2,(13),다양한 양식 플레이트를 선보이는 캐쥬얼 다이닝 레스토랑,점심 저녁 동일가 1 - 2만원,유러피안음식,성수
서관면옥 홍대점,4.8,(8),마음으로 대접받는 감동을 경험하는 예술적인 냉면 한 상,점심 저녁 동일가 1 - 4만원,"국수,냉면",홍대
르브리에,4.6,(37),브리오슈를 이용한 특별한 브런치,점심 저녁 동일가 1 - 2만원,브런치,잠실
고기싸롱 도봉보건소사거리점,4.4,(14),고퀄리티의 다양한 육류를 만날 수 있는 곳,점심 저녁 동일가 1 - 2만원,"육류,고기요리",창동
명백집노량진점,0.0,0,깔끔하고 담백한 국물맛이 일품인 지리산 흑돼지 곰탕전문집,점심 저녁 동일가 1 - 2만원,한식,노량진
한강로칼국수 충무로직영점,0.0,0,"낮에는 따뜻한 식사, 저녁에는 모던주막으로 막걸리와 다양한 요리를 선보이는 곳",점심 저녁 동일가 1 - 3만원,한식,충무로
일미락 성수,4.3,(23),직접 구워주는 프리미엄 무항생제 돼지고기 전문점,점심 저녁 동일가 1 - 3만원,돼지고기구이,성수
히타토제면소,4.4,(48),"서촌에 위치한 우동, 소바 맛집",점심 저녁 동일가 1 - 2만원,일식,서촌
키치클럽,4.8,(2),"스페셜티커피와 와인, 그리고 맛있는 이탈리안 음식이 있는 곳",점심 저녁 동일가 1 - 5만원,다이닝바,양재
오롯 로바타,4.4,(168),오롯의 2호 매장인 로바다야끼 일식다이닝,점심 1 - 2만원 · 저녁 1 - 8만원,일식,공덕
미래회관 압구정로데오,4.4,(199),"인스타 3천만뷰 돌파. 국내 1% 선별육을 장인이 320시간 엄블랑 에이징한 15% 깍아낸 벽돌 통목살과 삼겹살 전문점.BTS 정국, 넉살, 하석진 등 연예인들이 찾고 전문그릴러가 끝까지 구워주는 고급지고 힙한 분위기.",점심 영업안함 · 저녁 1 - 3만원,돼지고기구이,압구정로데오
양산도 올림픽공원점,4.5,(26),나고야식 민물장어덮밥 “히츠마부시” 전문점,점심 저녁 동일가 1 - 4만원,일식,성내
플롭 연남,0.0,0,테라스에서 즐기는 네 가지맛 피자 맛집,점심 저녁 동일가 1 - 2만원,피자,연남
르미야,4.0,(29),데이트 코스로 추천! 국립중앙박물관 근처 파스타 맛집,점심 저녁 동일가 1 - 3만원,퓨전음식,이촌
니찌니찌 마포점,4.8,(150),30년 경력의 오너셰프가 제철 식재료로 만드는 신선한 이야기,점심 1 - 4만원 · 저녁 1 - 15만원,스시오마카세,마포
벽제갈비 방이점,5.0,(1),최상급 한우의 독보적인 역사,점심 저녁 동일가 1 - 8만원,소고기구이,방이
함루 서울역점,4.1,(202),신라호텔 출신 셰프의 나고야 히츠마부시 전문점,점심 저녁 동일가 2 - 10만원,일식,서울역
소곤(SO GON),4.9,(103),백마리 중 한 마리인  No.9 특상등급의 한우(암소 1++)와 최고급 식재료에 공간의 가치를 더한 “SO GON”으로 여러분을 초대합니다,점심 저녁 동일가 5 - 8만원,소고기구이,마곡
스모크 트레인,4.5,(53),분위기 좋은 텍사스 훈연 바베큐 전문점,점심 저녁 동일가 2 - 5만원,바베큐,혜화
라무진 공덕점,4.5,(69),고급스러운 분위기의 대한민국 대표 양갈비 전문점,점심 저녁 동일가 1 - 3만원,양고기,공덕
정돈 신사점,5.0,(10),신사역 가로수길 돈가츠 맛집,점심 저녁 동일가 1 - 3만원,돈가스,가로수길
청도미나리식당 선릉점,4.6,(44),청도산 미나리를 곁들인 다양한 요리,점심 저녁 동일가 1 - 2만원,"닭,오리요리",선릉
미카도스시 명동점,4.1,(3),합리적인 가격에 즐기는 70여 가지 다양한 초밥,점심 가격변동 · 저녁 가격변동,"스시,초밥",명동
애즈라이크 본점,4.5,(54),샐러드가 맛있는 올데이 브런치 카페,점심 저녁 동일가 1 - 2만원,브런치,서촌
청기와타운 잠실점,4.4,(157),수원식 LA왕갈비가 유명한 맛집,점심 저녁 동일가 2 - 3만원,"육류,고기요리",방이
온더보더 타임스퀘어점,4.1,(34),"타코, 부리또, 화이타 등의 정통 멕시칸 요리를 선보이는 멕시코 요리 전문점",점심 저녁 동일가 1 - 8만원,멕시코음식,영등포
