,Name,Keywords (10),Top Keywords List,Top Keywords
134,엘몰리노,"타코, 음식, 츄러스, 좋은, 경험, 분위기, 시간, 피쉬, 베리, 좋았어요",['분위기 좋은'],분위기 좋은
135,여기런던,"메뉴, 분위기, 시간, 파스타, 예약, 음식, 좋은, 맛있고, 세트, 직원","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
136,열기,"고기, 분위기, 또띠아, 서비스, 소고기, 직원, 국수, 콜키, 맛집, 좋고","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은"
137,오뜨로 성수,"스테이크, 분위기, 샐러드, 파스타, 음식, 양도, 직원, 가성, 맛있게, 맛있고","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
138,오르트oort,"음식, 좋은, 메뉴, 분위기, 시간, 와인, 파스타, 맛있었습니다, 맛있고, 맛있습니다","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
139,오마카세 오사이초밥 건대본점,"가성, 가격, 디너, 좋은, 초밥, 마카, 맛있게, 식사, 좋고, 최고","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는"
140,오마카세 오사이초밥 성수점,"마카, 초밥, 가성, 주문, 가격, 시간, 서비스, 스시, 식사, 예약",['서비스 좋은'],서비스 좋은
141,오부이용,"음식, 디저트, 서비스, 식사, 프랑스, 요리, 프렌치, 맛있어요, 분위기, 와인","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은"
142,오블리비언 Oblivion,"와인, 음식, 추천, 메뉴, 좋은, 공간, 파스타, 요리, 시간, 조합","['주류', '추천하는']","주류, 추천하는"
143,오스테리아 로에로,"음식, 요리, 분위기, 와인, 좋은, 파스타, 송아지, 좋았습니다, 메뉴, 추천","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
144,오스테리아 파로,"음식, 파스타, 맛있었어요, 분위기, 뇨끼, 메뉴, 주문, 좋은, 스테이크, 트러플","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
145,오츠쿠리,"메뉴, 음식, 분위기, 친구, 가격, 맛있었습니다, 사시미, 오래오래, 자리, 좋아요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
146,오트란,"와인, 음식, 분위기, 추천, 맛있고, 좋고, 친절하시고, 메뉴, 공간, 서비스","['서비스 좋은', '추천하는', '분위기 좋은', '친절한', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 친절한, 주류, 음식이 맛있는"
147,옥스라이브파이어그릴 성수,"음식, 기념일, 좋은, 분위기, 와인, 시간, 직원, 코스, 식사, 고민","['친절한', '주류', '특별한 날', '분위기 좋은']","친절한, 주류, 특별한 날, 분위기 좋은"
148,온류,"메뉴, 음식, 파스타, 김밥, 분위기, 식사, 육회, 한식, 맛있었어요, 문어","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
149,온슬,"맛있어요, 음식, 분위기, 성수, 파스타, 메뉴, 친구, 온슬, 맛있어서, 새우","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
150,올드핸즈,"스테이크, 애플파이, 디저트, 샐러드, 예약, 시간, 최고, 음식, 준비, 고기",['추천하는'],추천하는
151,올음,"음식, 추천, 전통주, 마카, 좋은, 맛있게, 사시미, 식사, 우리, 가격","['주류', '음식이 맛있는', '추천하는']","주류, 음식이 맛있는, 추천하는"
152,와이즈오렌지(The wise orange),"분위기, 음식, 좋고, 와인, 메뉴, 스테이크, 맛있었어요, 파스타, 맛있게, 서비스","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은"
153,와일드플로어,"음식, 메뉴, 와인, 추천, 소스, 서비스, 요리, 돼지, 주문, 디저트","['주류', '서비스 좋은', '추천하는']","주류, 서비스 좋은, 추천하는"
154,요시 성수,"함바, 맛있어요, 일본, 소스, 육즙, 직원, 함박, 고기, 맛있게, 맛있는","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는"
155,우물집 구의점,"분위기, 음식, 전골, 좋아요, 좋은, 토마토, 맛있고, 맛있었어요, 솥밥, 좋고","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
156,우바(UVA) 성수,"피자, 분위기, 서울숲, 와인, 파스타, 성수, 좋은, 메뉴, 음식, 맛집","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
157,우시야 성수점,"부위, 맛있게, 좋았어요, 고기, 좋은, 좋고, 직원, 코스, 분위기, 식사","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
158,원기옥,"메뉴, 음식, 좋은, 모시, 부모님, 가족, 모임, 예약, 주문, 차림",['특별한 날'],특별한 날
159,유어네이키드치즈 성수점,"치즈, 와인, 플래터, 분위기, 메뉴, 추천, 친구, 좋아요, 기분, 음식","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
160,이시즈에,"메뉴, 사케, 음식, 안주, 추천, 구성, 가지, 사시미, 좋아요, 감칠맛",['추천하는'],추천하는
161,이오로비스트로 성수점,"파스타, 음식, 맛있었어요, 메뉴, 명란, 토마, 매콤, 마키, 후토, 맛있게",['음식이 맛있는'],음식이 맛있는
162,이와자루,"음식, 좋은, 분위기, 추천, 메뉴, 안주, 직원, 자루, 최고, 가도","['친절한', '분위기 좋은', '추천하는']","친절한, 분위기 좋은, 추천하는"
163,이윤 YI YUN,"메뉴, 분위기, 음식, 요리, 좋은, 중식, 식사, 좋았어요, 생일, 서비스","['서비스 좋은', '특별한 날', '분위기 좋은']","서비스 좋은, 특별한 날, 분위기 좋은"
164,인덕상점,"음식, 분위기, 와인, 요리, 메뉴, 데이트, 재료, 상점, 인덕, 좋고","['주류', '분위기 좋은', '데이트/연인과 함께']","주류, 분위기 좋은, 데이트/연인과 함께"
165,일양전,"양전, 사시미, 서비스, 메뉴, 좋고, 고등어, 맛있고, 음식, 추천, 가성","['음식이 맛있는', '서비스 좋은', '추천하는']","음식이 맛있는, 서비스 좋은, 추천하는"
166,정이담,"음식, 직원, 맛있고, 식사, 예약, 메뉴, 좋은, 가족, 맛있게, 좋고","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는"
167,제비집,"분위기, 음식, 메뉴, 해산물, 맛있고, 재료, 좋고, 막걸리, 맛있었어요, 맛집","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
168,제이드앤워터 (Jade & Water),"음식, 파스타, 메뉴, 분위기, 맛있어요, 와인, 맛있었어요, 다른, 리가토니, 몬테","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
169,제제,"음식, 메뉴, 딤섬, 맛있었어요, 식사, 맛있고, 우창, 추천, 가격, 간이","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는"
170,젤코바세라타,"와인, 메뉴, 음식, 파스타, 서비스, 감자, 맛있었어요, 예약, 좋은, 아이스크림","['주류', '음식이 맛있는', '서비스 좋은']","주류, 음식이 맛있는, 서비스 좋은"
171,주052,"음식, 메뉴, 분위기, 전통주, 좋았어요, 플레이, 좋은, 최고, 맛있었고, 서비스","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
172,중앙감속기,"음식, 메뉴, 주문, 갈비, 짬뽕, 튀김, 크림, 마라, 새우, 서비스",['서비스 좋은'],서비스 좋은
173,진작다이닝,"음식, 분위기, 메뉴, 좋고, 파스타, 맛있게, 깔끔하고, 사진, 예약, 테이블","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
174,찌마찌마,"마카, 분위기, 음식, 좋은, 식사, 맛있게, 맛있었어요, 서비스, 정식, 좋고","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
175,차만다 서울숲점,"음식, 분위기, 식사, 영국, 맛있었어요, 메뉴, 창가, 서울숲, 시간, 예약","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
176,찬마카세,"음식, 메뉴, 사시미, 모츠, 사케, 맛집, 분위기, 서비스, 추천, 카츠","['서비스 좋은', '음식이 맛있는', '분위기 좋은', '추천하는']","서비스 좋은, 음식이 맛있는, 분위기 좋은, 추천하는"
177,청기와타운 왕십리점,"고기, 갈비, 콜키, 볶음밥, 직원, 무생채, 프리, 서비스, 예약, 기분","['친절한', '서비스 좋은']","친절한, 서비스 좋은"
178,청주한씨,"음식, 메뉴, 친구, 맛있고, 생일, 시간, 전통주, 코스, 식사, 좋았습니다","['주류', '음식이 맛있는', '특별한 날']","주류, 음식이 맛있는, 특별한 날"
179,칠칠칠 chillchillchill,"와인, 메뉴, 분위기, 음식, 타르, 추천, 칠칠칠, 좋은, 서비스, 파스타","['서비스 좋은', '주류', '분위기 좋은', '추천하는']","서비스 좋은, 주류, 분위기 좋은, 추천하는"
180,침묵을깨다,"분위기, 노래, 음악, 좋고, 좋았어요, 좋은, 칵테일, 좋아요, 시간, 신청","['주류', '분위기 좋은']","주류, 분위기 좋은"
181,코너룸 The Steak,"스테이크, 분위기, 음식, 파스타, 메뉴, 와인, 좋은, 뇨끼, 맛있고, 맛있어요","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
182,코치 성수점,"음식, 서비스, 메뉴, 꼬치, 야키토리, 코스, 분위기, 추천, 맛있게, 맛있는","['서비스 좋은', '음식이 맛있는', '분위기 좋은', '추천하는']","서비스 좋은, 음식이 맛있는, 분위기 좋은, 추천하는"
183,콩카세 ,"라자냐, 메뉴, 분위기, 스테이크, 음식, 좋은, 파스타, 맛있게, 웰링턴, 좋고","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
184,쿠나,"파스타, 쿠나, 뇨끼, 메뉴, 문어, 소스, 생면, 퓨레, 음식, 추천",['추천하는'],추천하는
185,퀴바라 qui va la,"음식, 와인, 시간, 좋은, 분위기, 서비스, 최고, 느낌, 맛있게, 맛있었어요","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
186,퀴버(Quiver) 서울숲,"음식, 맛있어요, 분위기, 좋고, 파스타, 맛있었어요, 떡볶이, 서비스, 스테이크, 가족","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
187,키친오늘 금호점,"메뉴, 음식, 조금, 맛있고, 맛있어요, 예약, 추천, 가격, 맛있게, 분위기","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
188,타이거풀,"분위기, 음식, 스테이크, 파스타, 고기, 미디움, 좋고, 샐러드, 좋았습니다, 직원","['친절한', '분위기 좋은']","친절한, 분위기 좋은"
189,타코튜즈데이,"타코, 음식, 창가, 맛있었어요, 맛있게, 맛있어요, 맥주, 소스, 플래터, 맛집","['주류', '음식이 맛있는']","주류, 음식이 맛있는"
190,테니,"메뉴, 분위기, 음식, 브런치, 서비스, 좋았어요, 좋은, 맛있었어요, 에그베네딕트, 연어","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
191,텐바,"음식, 초밥, 텐바, 메뉴, 분위기, 파스타, 성수, 예약, 좋고, 친구",['분위기 좋은'],분위기 좋은
192,파라디,"와인, 요리, 추천, 메뉴, 분위기, 서비스, 음식, 맛있어요, 한치, 좋은","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
193,팩피 (FAGP),"파스타, 고수, 음식, 메뉴, 오징어, 리가토니, 팩피, 사람, 식감, 좋은",[],
194,퍼프피자 (FUFPIZZA) ,"피자, 파스타, 루프, 분위기, 도우, 맛있어요, 맛집, 서울숲, 좋은, 추천","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
195,포도젝트,"와인, 음식, 메뉴, 서비스, 좋은, 분위기, 직원, 추천, 기분, 감동","['서비스 좋은', '추천하는', '분위기 좋은', '친절한', '주류']","서비스 좋은, 추천하는, 분위기 좋은, 친절한, 주류"
196,폭폭(POKPOK),"음식, 뇨끼, 메뉴, 맛있었어요, 폭폭, 맛있고, 분위기, 추천, 비스트, 서비스","['서비스 좋은', '음식이 맛있는', '분위기 좋은', '추천하는']","서비스 좋은, 음식이 맛있는, 분위기 좋은, 추천하는"
197,플레이버타운,"메뉴, 음식, 가격, 추천, 요리, 족발, 최고, 튀김, 서비스, 와인","['주류', '서비스 좋은', '추천하는']","주류, 서비스 좋은, 추천하는"
198,플록,"음식, 디저트, 맛있고, 서비스, 좋았습니다, 분위기, 식전, 요리, 기분, 맛있어요","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
199,피읖 제페니즈다이닝,"서비스, 메뉴, 음식, 최고, 항상, 군자, 금태, 맛있는, 맛있었습니다, 맛있었어요","['음식이 맛있는', '서비스 좋은', '추천하는']","음식이 맛있는, 서비스 좋은, 추천하는"
200,피키니키 라자냐,"라자냐, 음식, 맛있어요, 좋았어요, 메뉴, 서비스, 샐러드, 당근, 맛있고, 분위기","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
201,하이홀본,"음식, 와인, 분위기, 서비스, 추천, 맛있게, 요리, 좋고, 좋은, 꽃다발","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
202,한우드림,"한우, 고기, 드림, 라면, 파김치, 서비스, 카레, 맛있고, 볶음밥, 식사","['음식이 맛있는', '서비스 좋은']","음식이 맛있는, 서비스 좋은"
203,함루 성수,"장어, 분위기, 음식, 식사, 맛있고, 반찬, 좋았어요, 가시, 깔끔하고, 다른","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
204,핫쵸 성수,"음식, 분위기, 좋았어요, 직원, 노미, 서비스, 입장, 가격, 구경, 맛있었어요","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은"
205,햄서울 HAM SEOUL,"와인, 음식, 추천, 메뉴, 분위기, 타르, 파스타, 가격, 옥수수, 좋고","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
206,헤이안,"안주, 메뉴, 추천, 하이, 분위기, 종류, 좋고, 최고, 맥주, 고구마","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
207,호감도,"스지찜, 메뉴, 음식, 분위기, 맛있고, 서비스, 직원, 맛있었어요, 좋았습니다, 좋은","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은"
208,호랑도,"고기, 갈비, 서비스, 메뉴, 직원, 호랑, 맛있어요, 맛있고, 식사, 좋았어요","['친절한', '음식이 맛있는', '서비스 좋은']","친절한, 음식이 맛있는, 서비스 좋은"
209,호미담,"분위기, 음식, 맛있어요, 추천, 감자전, 좋고, 좋아요, 종류, 한식, 좋은","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
210,홍익주점,"분위기, 메뉴, 음식, 크리스마스, 와인, 좋고, 코스, 맛있고, 안주, 요리","['주류', '음식이 맛있는', '분위기 좋은', '특별한 날']","주류, 음식이 맛있는, 분위기 좋은, 특별한 날"
211,희릿,"분위기, 비프, 웰링턴, 테라스, 음식, 메뉴, 뇨끼, 와인, 좋은, 파스타","['주류', '분위기 좋은']","주류, 분위기 좋은"
